"","cohort","mcohort","resp.var","cv.fold","family","var.type","metric","non.trivial","value"
"224","ccUSA","ccUSA","group",24,"binomial","BGC","auc",TRUE,0.695636094674556
"225","ccUSA","ccUSA","group",25,"binomial","BGC","auc",TRUE,0.631656804733728
"226","ccUSA","ccUSA","group",26,"binomial","BGC","auc",TRUE,0.630547337278107
"227","ccUSA","ccUSA","group",27,"binomial","BGC","auc",TRUE,0.69637573964497
"228","ccUSA","ccUSA","group",28,"binomial","BGC","auc",TRUE,0.690828402366864
"229","ccUSA","ccUSA","group",29,"binomial","BGC","auc",TRUE,0.680473372781065
"230","ccUSA","ccUSA","group",30,"binomial","BGC","auc",FALSE,0.5
"231","ccUSA","ccUSA","group",31,"binomial","BGC","auc",TRUE,0.698594674556213
"232","ccUSA","ccUSA","group",32,"binomial","BGC","auc",TRUE,0.731878698224852
"233","ccUSA","ccUSA","group",33,"binomial","BGC","auc",TRUE,0.686390532544379
"234","ccUSA","ccUSA","group",34,"binomial","BGC","auc",FALSE,0.5
"235","ccUSA","ccUSA","group",35,"binomial","BGC","auc",TRUE,0.719674556213018
"236","ccUSA","ccUSA","group",36,"binomial","BGC","auc",TRUE,0.711168639053254
"237","ccUSA","ccUSA","group",37,"binomial","BGC","auc",TRUE,0.64792899408284
"238","ccUSA","ccUSA","group",38,"binomial","BGC","auc",TRUE,0.722633136094675
"239","ccUSA","ccUSA","group",39,"binomial","BGC","auc",TRUE,0.694896449704142
"240","ccUSA","ccUSA","group",40,"binomial","BGC","auc",TRUE,0.697855029585799
"241","ccUSA","ccUSA","group",41,"binomial","BGC","auc",TRUE,0.663461538461538
"242","ccUSA","ccUSA","group",42,"binomial","BGC","auc",TRUE,0.708949704142012
"243","ccUSA","ccUSA","group",43,"binomial","BGC","auc",TRUE,0.681582840236686
"244","ccUSA","ccUSA","group",44,"binomial","BGC","auc",TRUE,0.621671597633136
"245","ccUSA","ccUSA","group",45,"binomial","BGC","auc",TRUE,0.727810650887574
"246","ccUSA","ccUSA","group",46,"binomial","BGC","auc",TRUE,0.64164201183432
"247","ccUSA","ccUSA","group",47,"binomial","BGC","auc",TRUE,0.720784023668639
"248","ccUSA","ccUSA","group",48,"binomial","BGC","auc",TRUE,0.658653846153846
"249","ccUSA","ccUSA","group",49,"binomial","BGC","auc",TRUE,0.720044378698225
"250","ccUSA","ccUSA","group",50,"binomial","BGC","auc",FALSE,0.5
